time_1,time_2,time_3,time_4,temp_1,temp_2,temp_3,temp_4,Cold Object
460.0,5.0,10.0,15.0,68.92,68.92,69.29,69.96,Medicine
2810.0,10.0,20.0,30.0,72.2,71.8,72.6,72.4,Water
3170.0,19.0,38.0,57.0,72.3,72.7,73.2,73.6,Water
620.0,16.0,32.0,48.0,63.56,63.81,63.84,64.2,Iron
3200.0,13.0,26.0,39.0,68.68,68.84,69.33,69.67,FruitJuice
1930.0,11.0,22.0,33.0,34.54,34.75,34.75,35.01,FruitJuice
550.0,6.0,12.0,18.0,72.28,72.75,72.75,72.97,Medicine
2580.0,5.0,10.0,15.0,85.49,85.56,85.56,85.65,Iron
810.0,19.0,38.0,57.0,41.88,42.57,43.18,44.49,ICECREAM
1320.0,6.0,12.0,18.0,59.13,59.23,59.23,59.46,ICECREAM
1940.0,18.0,36.0,54.0,76.91,77.45,77.93,78.02,ICECREAM
3070.0,16.0,32.0,48.0,70.0,70.4,70.6,71.0,Water
530.0,16.0,32.0,48.0,40.9,40.8,41.6,41.6,Water
1720.0,13.0,26.0,39.0,78.0,78.09,78.57,78.72,Copper
2170.0,16.0,32.0,48.0,34.52,34.73,34.94,35.15,ICECREAM
100.0,11.0,22.0,33.0,25.53,25.72,25.75,26.21,CoolDrink
1600.0,17.0,34.0,51.0,28.165,28.345,28.49,28.615,ICECREAM
630.0,7.0,14.0,21.0,74.25,74.36,74.36,75.26,Medicine
60.0,12.0,24.0,36.0,57.31,57.31,57.41,57.56,Iron
1970.0,9.0,18.0,27.0,77.66,77.77,77.79,77.84,Iron
2000.0,17.0,34.0,51.0,83.75,83.87,83.92,84.15,Aluminium
530.0,10.0,20.0,30.0,21.28,21.48,21.49,21.58,FruitJuice
510.0,16.0,32.0,48.0,41.5,42.0,41.7,42.2,Water
1740.0,8.0,16.0,24.0,29.895,29.945,30.095,30.095,ICECREAM
2400.0,16.0,32.0,48.0,82.9,83.11,83.13,83.61,Iron
610.0,20.0,40.0,60.0,24.99,25.25,25.46,26.5,Apple
470.0,17.0,34.0,51.0,68.81,68.88,68.93,68.97,Aluminium
660.0,18.0,36.0,54.0,75.49,75.75,76.09,76.42,Medicine
2640.0,6.0,12.0,18.0,43.19,43.28,43.28,43.31,FruitJuice
3170.0,8.0,16.0,24.0,57.23,57.34,57.44,57.44,CoolDrink
1140.0,16.0,32.0,48.0,44.31,44.84,45.25,45.51,Apple
1090.0,16.0,32.0,48.0,74.55,74.88,75.03,75.25,Aluminium
1490.0,16.0,32.0,48.0,73.21,73.58,73.81,74.04,Iron
400.0,10.0,20.0,30.0,16.32,17.14,17.15,17.87,Apple
4720.0,9.0,18.0,27.0,69.7,69.77,70.11,70.16,FruitJuice
1550.0,13.0,26.0,39.0,27.545,27.605,27.755,28.08,ICECREAM
1840.0,6.0,12.0,18.0,31.0,31.15,31.15,31.27,ICECREAM
120.0,17.0,34.0,51.0,26.2,29.1,30.6,33.1,Water
70.0,5.0,10.0,15.0,54.31,54.31,54.51,54.51,Medicine
60.0,13.0,26.0,39.0,53.63,54.31,55.95,56.25,Medicine
470.0,8.0,16.0,24.0,61.77,62.16,62.21,62.21,Iron
2860.0,18.0,36.0,54.0,73.1,73.3,73.6,72.8,Water
400.0,14.0,28.0,42.0,67.49,67.5,67.62,68.04,Medicine
3240.0,7.0,14.0,21.0,57.96,58.06,58.06,58.16,CoolDrink
910.0,14.0,28.0,42.0,52.75,52.89,53.06,53.2,Meat
